"id","code","name","group_id","tag_ids:id","user_type_id:id","chart_template_id:id","reconcile"
"a1010","1010","Salg af varer m/moms","Omsætning","","account.data_account_type_revenue","l10n_dk_ec.dk_chart_template","FALSE"
"a1011","1011","Salg af ydelser m/moms","Omsætning","","account.data_account_type_revenue","l10n_dk_ec.dk_chart_template","FALSE"
"a1020","1020","Salg af varer til 3. lande","Omsætning","","account.data_account_type_revenue","l10n_dk_ec.dk_chart_template","FALSE"
"a1021","1021","Salg af ydelser til 3. lande","Omsætning","","account.data_account_type_revenue","l10n_dk_ec.dk_chart_template","FALSE"
"a1025","1025","Salg af varer til EU","Omsætning","","account.data_account_type_revenue","l10n_dk_ec.dk_chart_template","FALSE"
"a1026","1026","Salg af ydelser til EU","Omsætning","","account.data_account_type_revenue","l10n_dk_ec.dk_chart_template","FALSE"
"a1030","1030","Salg til kunder u/moms","Omsætning","","account.data_account_type_revenue","l10n_dk_ec.dk_chart_template","FALSE"
"a1310","1310","Direkte omkostninger m/moms","Direkte omkostninger","","account.data_account_type_direct_costs","l10n_dk_ec.dk_chart_template","FALSE"
"a1311","1311","Direkte omkostninger ydelser m/moms","Direkte omkostninger","","account.data_account_type_direct_costs","l10n_dk_ec.dk_chart_template","FALSE"
"a1320","1320","Direkte omkostninger varer u/moms indenfor EU","Direkte omkostninger","","account.data_account_type_direct_costs","l10n_dk_ec.dk_chart_template","FALSE"
"a1321","1321","Direkte omkostninger ydelser u/moms indenfor EU","Direkte omkostninger","","account.data_account_type_direct_costs","l10n_dk_ec.dk_chart_template","FALSE"
"a1324","1324","Direkte omkostninger varer u/moms 3. lande","Direkte omkostninger","","account.data_account_type_direct_costs","l10n_dk_ec.dk_chart_template","FALSE"
"a1325","1325","Direkte omkostninger ydelser u/moms 3. lande","Direkte omkostninger","","account.data_account_type_direct_costs","l10n_dk_ec.dk_chart_template","FALSE"
"a1326","1326","Lønninger, afsluttede projekter (projekt)","Direkte omkostninger","","account.data_account_type_direct_costs","l10n_dk_ec.dk_chart_template","FALSE"
"a1327","1327","Omkostninger, afsluttede projekter (projekt)","Direkte omkostninger","","account.data_account_type_direct_costs","l10n_dk_ec.dk_chart_template","FALSE"
"a1330","1330","Vareforbrug (lagermodul)","Direkte omkostninger","","account.data_account_type_direct_costs","l10n_dk_ec.dk_chart_template","FALSE"
"a2210","2210","Lønninger","Lønninger","","account.data_account_type_expenses","l10n_dk_ec.dk_chart_template","FALSE"
"a2211","2211","Feriepenge & SH","Lønninger","","account.data_account_type_expenses","l10n_dk_ec.dk_chart_template","FALSE"
"a2212","2212","Sygedagpenge mv.","Lønninger","","account.data_account_type_expenses","l10n_dk_ec.dk_chart_template","FALSE"
"a2213","2213","B-honorar","Lønninger","","account.data_account_type_expenses","l10n_dk_ec.dk_chart_template","FALSE"
"a2214","2214","Personalegoder og multimedier","Lønninger","","account.data_account_type_expenses","l10n_dk_ec.dk_chart_template","FALSE"
"a2215","2215","Pensioner, arbejdsgiver","Lønninger","","account.data_account_type_expenses","l10n_dk_ec.dk_chart_template","FALSE"
"a2222","2222","AER (Samlet betaling)","Lønninger","","account.data_account_type_expenses","l10n_dk_ec.dk_chart_template","FALSE"
"a2223","2223","ATP","Lønninger","","account.data_account_type_expenses","l10n_dk_ec.dk_chart_template","FALSE"
"a2224","2224","DA-barsel","Lønninger","","account.data_account_type_expenses","l10n_dk_ec.dk_chart_template","FALSE"
"a2230","2230","KM-penge","Lønninger","","account.data_account_type_expenses","l10n_dk_ec.dk_chart_template","FALSE"
"a2241","2241","Personaleudgifter","Lønninger","","account.data_account_type_expenses","l10n_dk_ec.dk_chart_template","FALSE"
"a2242","2242","Projektførte lønninger (projekt)","Lønninger","","account.data_account_type_expenses","l10n_dk_ec.dk_chart_template","FALSE"
"a2280","2280","Feriepengeforpligtelse, reg.","Lønninger","","account.data_account_type_expenses","l10n_dk_ec.dk_chart_template","FALSE"
"a2750","2750","Restaurationsbesøg","Salgs- og rejseomkostninger","","account.data_account_type_expenses","l10n_dk_ec.dk_chart_template","FALSE"
"a2754","2754","Gaver og blomster","Salgs- og rejseomkostninger","","account.data_account_type_expenses","l10n_dk_ec.dk_chart_template","FALSE"
"a2770","2770","Rejseudgifter","Salgs- og rejseomkostninger","","account.data_account_type_expenses","l10n_dk_ec.dk_chart_template","FALSE"
"a2800","2800","Annoncer og reklame","Salgs- og rejseomkostninger","","account.data_account_type_expenses","l10n_dk_ec.dk_chart_template","FALSE"
"a2811","2811","Fragt m/moms","Salgs- og rejseomkostninger","","account.data_account_type_expenses","l10n_dk_ec.dk_chart_template","FALSE"
"a3110","3110","Brændstof","Autodrift - personbiler","","account.data_account_type_expenses","l10n_dk_ec.dk_chart_template","FALSE"
"a3120","3120","Bilforsikring","Autodrift - personbiler","","account.data_account_type_expenses","l10n_dk_ec.dk_chart_template","FALSE"
"a3130","3130","Vægtafgift","Autodrift - personbiler","","account.data_account_type_expenses","l10n_dk_ec.dk_chart_template","FALSE"
"a3140","3140","Reparation/vedligeholdelse","Autodrift - personbiler","","account.data_account_type_expenses","l10n_dk_ec.dk_chart_template","FALSE"
"a3410","3410","Husleje m/moms","Lokaleomkostninger","","account.data_account_type_expenses","l10n_dk_ec.dk_chart_template","FALSE"
"a3411","3411","Husleje u/moms","Lokaleomkostninger","","account.data_account_type_expenses","l10n_dk_ec.dk_chart_template","FALSE"
"a3420","3420","El, vand og gas","Lokaleomkostninger","","account.data_account_type_expenses","l10n_dk_ec.dk_chart_template","FALSE"
"a3430","3430","Vedligeholdelse og rengøring","Lokaleomkostninger","","account.data_account_type_expenses","l10n_dk_ec.dk_chart_template","FALSE"
"a3450","3450","Forsikringer (lokale)","Lokaleomkostninger","","account.data_account_type_expenses","l10n_dk_ec.dk_chart_template","FALSE"
"a3600","3600","Kontorartikler og tryksager","Administrationsomkostninger","","account.data_account_type_expenses","l10n_dk_ec.dk_chart_template","FALSE"
"a3601","3601","Avishold","Administrationsomkostninger","","account.data_account_type_expenses","l10n_dk_ec.dk_chart_template","FALSE"
"a3604","3604","Edb-udgifter / software","Administrationsomkostninger","","account.data_account_type_expenses","l10n_dk_ec.dk_chart_template","FALSE"
"a3610","3610","Rep./vedligeholdelse af inventar","Administrationsomkostninger","","account.data_account_type_expenses","l10n_dk_ec.dk_chart_template","FALSE"
